Name;NHM_Id;Produktudbyder;Produkt;Risikoniveau;År til pension;ÅOP;Date;Return;Serie;IsBenchmark;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2008;-0.07855186464139896;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2008;-0.10195763095355981;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2008;-0.012151693395260899;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2008;0.019858523187255672;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2009;-0.021468712664999723;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2009;-0.041547978311412666;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2009;0.023962770636878572;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2009;0.07441361498549437;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2009;0.032358419246813375;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2009;0.010973991310530895;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2009;0.04626198736437925;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2009;0.027258360854098163;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2009;0.021092812112708526;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2009;-0.013200963263540477;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2009;0.018069682865911707;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2009;0.022804775544918554;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2010;-0.005044080604117207;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-01-2010;0.0023087;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2010;0.013595770546936059;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;28-02-2010;0.0131128;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2010;0.040723436114754596;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-03-2010;0.0344621;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2010;0.011357024129820648;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-04-2010;0.014087;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2010;-0.026489673627405175;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-05-2010;-0.0140533;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2010;-0.010534782384106323;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-06-2010;-0.0084945;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2010;0.025754025415563264;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-07-2010;0.0137877;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2010;-0.005062379099456615;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-08-2010;0.0039749;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2010;0.03415136052621248;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-09-2010;0.0163069;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2010;0.010218381056355863;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-10-2010;0.0107112;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2010;-0.0006539051456692091;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-11-2010;7.1e-06;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2010;0.027406023104934896;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-12-2010;0.023762099999999998;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2011;-0.0022791559956716334;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-01-2011;0.00022009999999999998;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2011;0.012266698239441487;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;28-02-2011;0.0111936;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2011;-0.005205912043583005;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-03-2011;0.0009748;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2011;0.01010557095251241;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-04-2011;0.0066454999999999995;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2011;0.0010312781468266863;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-05-2011;-0.00025499999999999996;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2011;-0.010249006923836124;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-06-2011;-0.0104084;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2011;-0.003963626144716681;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-07-2011;-0.0026078;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2011;-0.036714904710050345;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-08-2011;-0.0368613;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2011;-0.03064882979561412;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-09-2011;-0.0155771;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2011;0.04345406746598912;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-10-2011;0.0306133;PFA Profil Middel 15 Year;False;
